2.61	3.711	0.203	0.782	0.444	0.755	0.59	1.16
2.64	3.859	0.192	0.797	0.433	0.74	0.59	1.131
2.67	4.012	0.18	0.816	0.423	0.723	0.59	1.101
2.7	4.168	0.169	0.84	0.412	0.702	0.59	1.071
2.73	4.328	0.157	0.869	0.402	0.679	0.59	1.041
2.76	4.493	0.145	0.904	0.391	0.653	0.59	1.011
2.79	4.661	0.134	0.947	0.381	0.623	0.59	0.984
2.82	4.833	0.122	1.001	0.37	0.59	0.59	0.959
2.85	5.009	0.11	1.067	0.36	0.553	0.59	0.938
2.88	5.19	0.099	1.152	0.349	0.512	0.59	0.923
2.91	5.374	0.087	1.261	0.339	0.468	0.59	0.917
2.94	5.562	0.075	1.406	0.328	0.42	0.59	0.925
2.97	5.754	0.064	1.608	0.317	0.367	0.59	0.955
0.015	5.851	1.0	0.101	1.0	5.851	0.59	14.67
0.045	5.657	1.0	0.104	1.0	5.657	0.59	14.187
0.075	5.467	1.0	0.108	1.0	5.467	0.59	13.713
0.105	5.281	1.0	0.112	1.0	5.281	0.59	13.249
0.135	5.099	1.0	0.116	1.0	5.099	0.59	12.796
0.165	4.921	1.0	0.12	1.0	4.921	0.59	12.352
0.195	4.747	1.0	0.124	1.0	4.747	0.59	11.918
0.225	4.576	1.0	0.129	1.0	4.576	0.59	11.494
0.255	4.41	1.0	0.134	1.0	4.41	0.59	11.08
0.285	4.248	1.0	0.139	1.0	4.248	0.59	10.677
0.315	4.089	1.0	0.144	1.0	4.089	0.59	10.283
0.345	3.935	1.0	0.15	1.0	3.935	0.59	9.899
0.375	3.784	1.0	0.156	1.0	3.784	0.59	9.525
0.405	3.638	1.0	0.162	1.0	3.638	0.59	9.162
0.435	3.495	1.0	0.169	1.0	3.495	0.59	8.808
0.465	3.357	1.0	0.176	1.0	3.357	0.59	8.464
0.495	3.222	1.0	0.183	1.0	3.222	0.59	8.131
0.525	3.091	0.991	0.193	0.996	3.063	0.59	7.705
0.555	2.965	0.98	0.203	0.991	2.905	0.59	7.28
0.585	2.842	0.969	0.214	0.986	2.753	0.59	6.874
0.615	2.723	0.958	0.226	0.981	2.608	0.59	6.489
0.645	2.608	0.947	0.239	0.976	2.47	0.59	6.124
0.675	2.497	0.936	0.252	0.971	2.337	0.59	5.777
0.705	2.39	0.925	0.267	0.966	2.211	0.59	5.449
0.735	2.287	0.914	0.282	0.961	2.091	0.59	5.138
0.765	2.188	0.903	0.299	0.956	1.976	0.59	4.845
0.795	2.093	0.892	0.316	0.951	1.867	0.59	4.569
0.825	2.002	0.881	0.334	0.946	1.764	0.59	4.309
0.855	1.915	0.87	0.354	0.941	1.666	0.59	4.065
0.885	1.832	0.859	0.375	0.936	1.574	0.59	3.837
0.915	1.753	0.848	0.397	0.931	1.487	0.59	3.623
0.945	1.678	0.837	0.42	0.926	1.404	0.59	3.424
0.975	1.606	0.826	0.445	0.921	1.327	0.59	3.238
1.005	1.539	0.815	0.47	0.916	1.255	0.59	3.066
1.035	1.476	0.804	0.497	0.911	1.187	0.59	2.907
1.065	1.416	0.793	0.525	0.906	1.123	0.59	2.76
1.095	1.361	0.782	0.554	0.901	1.065	0.59	2.626
1.125	1.309	0.771	0.584	0.896	1.01	0.59	2.502
1.155	1.262	0.76	0.615	0.891	0.959	0.59	2.39
1.185	1.218	0.749	0.646	0.886	0.913	0.59	2.288
1.215	1.179	0.738	0.678	0.881	0.87	0.59	2.196
1.245	1.143	0.727	0.71	0.876	0.831	0.59	2.113
1.275	1.111	0.716	0.741	0.871	0.796	0.59	2.039
