0.00     280.0    8.0    10.0    0.0    100000.0
100.0    279.5    7.8    10.0    0.0    98824.4
200.0    279.0    7.6    10.0    0.0    97660.8
300.0    278.5    7.4    10.0    0.0    96509.1
400.0    278.0    7.2    10.0    0.0    95369.1
500.0    277.5    7.0    10.0    0.0    94240.7
600.0    277.0    6.8    10.0    0.0    93123.8
700.0    276.5    6.6    10.0    0.0    92018.3
800.0    276.0    6.4    10.0    0.0    90924.1
900.0    275.5    6.2    10.0    0.0    89841.1
1000.0   275.0    6.0    10.0    0.0    88769.2
1100.0   274.5    5.8    10.0    0.0    87708.3
1200.0   274.0    5.6    10.0    0.0    86658.3
1300.0   273.0    5.4    10.0    0.0    85619.1
1400.0   272.0    5.2    10.0    0.0    84590.7
1500.0   271.0    5.0    10.0    0.0    83572.9
1600.0   270.0    4.8    10.0    0.0    82565.7
1700.0   269.0    4.5    10.0    0.0    81569.0
1800.0   268.0    4.2    10.0    0.0    80582.7
1900.0   267.0    3.9    10.0    0.0    79606.8
2000.0   266.0    3.6    10.0    0.0    78641.2
2100.0   265.0    3.3    10.0    0.0    77685.8
2200.0   264.0    3.0    10.0    0.0    76740.5
2300.0   263.0    2.7    10.0    0.0    75805.2
2400.0   262.0    2.4    10.0    0.0    74879.9
2500.0   261.0    2.1    10.0    0.0    73964.5
2600.0   260.0    1.8    10.0    0.0    73058.8
2700.0   259.0    1.6    10.0    0.0    72162.9
2800.0   258.0    1.4    10.0    0.0    71276.6
2900.0   257.0    1.2    10.0    0.0    70399.9
3000.0   256.0    1.0    10.0    0.0    69532.7
3100.0   255.0    0.9    10.0    0.0    68674.9
3200.0   254.0    0.8    10.0    0.0    67826.4
3300.0   253.0    0.7    10.0    0.0    66987.2
3400.0   252.0    0.6    10.0    0.0    66157.2
3500.0   251.0    0.5    10.0    0.0    65336.3
3600.0   250.0    0.45   10.0    0.0    64524.4
3700.0   249.0    0.4    10.0    0.0    63721.5
3800.0   248.5    0.35   10.0    0.0    62927.4
3900.0   248.0    0.3    10.0    0.0    62142.2
4000.0   247.5    0.25   10.0    0.0    61365.8
4100.0   247.0    0.22   10.0    0.0    60598.0
4200.0   246.5    0.2    10.0    0.0    59838.9
4300.0   246.0    0.18   10.0    0.0    59088.3
4400.0   245.5    0.16   10.0    0.0    58346.2
4500.0   245.0    0.14   10.0    0.0    57612.6
4600.0   244.5    0.12   10.0    0.0    56887.3
4700.0   244.0    0.1    10.0    0.0    56170.4
4800.0   243.5    0.09   10.0    0.0    55461.7
4900.0   243.0    0.08   10.0    0.0    54761.2
5000.0   242.5    0.07   10.0    0.0    54068.9
5100.0   242.0    0.06   10.0    0.0    53384.7
5200.0   241.5    0.05   10.0    0.0    52708.4
5300.0   241.0    0.04   10.0    0.0    52040.1
5400.0   240.5    0.03   10.0    0.0    51379.7
5500.0   240.0    0.02   10.0    0.0    50727.1
5600.0   240.0    0.02   10.0    0.0    50082.2
5700.0   240.0    0.02   10.0    0.0    49445.0
5800.0   240.0    0.02   10.0    0.0    48815.4
5900.0   240.0    0.02   10.0    0.0    48193.3
6000.0   240.0    0.02   10.0    0.0    47578.7
6100.0   240.5    0.02   10.0    0.0    46971.5
6200.0   241.0    0.02   10.0    0.0    46371.6
6300.0   241.5    0.02   10.0    0.0    45779.0
6400.0   242.0    0.02   10.0    0.0    45193.6
6500.0   242.5    0.02   10.0    0.0    44615.4
6600.0   243.0    0.02   10.0    0.0    44044.3
6700.0   243.5    0.02   10.0    0.0    43480.2
6800.0   244.0    0.02   10.0    0.0    42923.1
6900.0   244.5    0.02   10.0    0.0    42372.9
7000.0   245.0    0.02   10.0    0.0    41829.6
7100.0   245.5    0.02   10.0    0.0    41293.1
7200.0   246.0    0.02   10.0    0.0    40763.3
7300.0   246.5    0.02   10.0    0.0    40240.2
7400.0   247.0    0.02   10.0    0.0    39723.7
7500.0   247.5    0.02   10.0    0.0    39213.7
7600.0   248.0    0.02   10.0    0.0    38710.2
7700.0   248.5    0.02   10.0    0.0    38213.1
7800.0   249.0    0.02   10.0    0.0    37722.4
7900.0   249.5    0.02   10.0    0.0    37238.0
8000.0   250.0    0.02   10.0    0.0    36759.9
8100.0   250.5    0.02   10.0    0.0    36288.0
8200.0   251.0    0.02   10.0    0.0    35822.3
8300.0   251.5    0.02   10.0    0.0    35362.7
8400.0   252.0    0.02   10.0    0.0    34909.2
8500.0   252.5    0.02   10.0    0.0    34461.7
8600.0   253.0    0.02   10.0    0.0    34020.2
8700.0   253.5    0.02   10.0    0.0    33584.7
8800.0   254.0    0.02   10.0    0.0    33155.0
8900.0   254.5    0.02   10.0    0.0    32731.2
9000.0   255.0    0.02   10.0    0.0    32313.2
9100.0   255.5    0.02   10.0    0.0    31900.9
9200.0   256.0    0.02   10.0    0.0    31494.3
9300.0   256.5    0.02   10.0    0.0    31093.3
9400.0   257.0    0.02   10.0    0.0    30697.8
9500.0   257.5    0.02   10.0    0.0    30307.8
9600.0   258.0    0.02   10.0    0.0    29923.2
9700.0   258.5    0.02   10.0    0.0    29544.0
9800.0   259.0    0.02   10.0    0.0    29170.1
9900.0   259.5    0.02   10.0    0.0    28801.5
10000.0  260.0    0.02   10.0    0.0    28438.1
10100.0  260.5    0.02   10.0    0.0    28079.9
10200.0  261.0    0.02   10.0    0.0    27726.9
10300.0  261.5    0.02   10.0    0.0    27379.0
10400.0  262.0    0.02   10.0    0.0    27036.1
10500.0  262.5    0.02   10.0    0.0    26698.2
10600.0  263.0    0.02   10.0    0.0    26365.3
10700.0  263.5    0.02   10.0    0.0    26037.3
