0.00000 101100.00 26.75000
102.00000 100000.00 23.37000
1000.00000 89900.00 17.86000
1453.00000 85000.00 15.46000
2000.00000 79600.00 12.48000
2978.00000 70000.00 6.37000
3000.00000 69700.00 6.06000
4000.00000 62300.00 1.01500
5000.00000 54500.00 -4.73000
5578.00000 50000.00 -8.34000
6000.00000 47400.00 -11.11000
7000.00000 41100.00 -17.49000
7191.00000 40000.00 -18.90000
8000.00000 35800.00 -24.50000
9000.00000 30800.00 -33.14000
9152.00000 30000.00 -34.50000
10000.00000 26500.00 -41.66000
10362.00000 25000.00 -44.96000
11000.00000 22800.00 -50.00000
11782.00000 20000.00 -56.00000
12000.00000 19300.00 -57.70000
13000.00000 16600.00 -64.79000
13635.00000 15000.00 -68.63000
14000.00000 14200.00 -70.74000
15000.00000 12300.00 -74.08000
16000.00000 10400.00 -75.32100
17000.00000 9000.00 -76.00000
18000.00000 8000.00 -77.00000
19000.00000 7000.00 -78.00000
20000.00000 6000.00 -78.00000
21000.00000 5000.00 -78.00000
22000.00000 4500.00 -78.00000
23000.00000 4000.00 -78.00000
24000.00000 3500.00 -78.00000
25000.00000 3000.00 -78.00000
