0. 101200. 297.876 16.500 -1.00 0.00
46.6 100668. 297.876 16.500 -1.00 0.00
160.3 99376. 297.905 16.500 -1.00 0.00
301.7 97787. 297.911 16.500 -1.40 0.00
470.7 95912. 297.911 16.500 -1.70 0.00
667.2 93767. 299.235 15.004 -1.80 0.00
891.4 91370. 300.136 14.054 -2.10 0.00
1143.1 88738. 301.200 13.020 -2.60 0.00
1422.4 85891. 302.536 11.982 -3.60 0.00
1729.3 82851. 304.035 10.891 -4.90 0.00
2063.8 79640. 305.737 9.860 -6.70 0.00
2425.9 76283. 307.545 8.829 -8.70 0.00
2815.5 72803. 309.369 7.929 -10.60 0.00
3232.8 69223. 311.280 7.036 -12.20 0.00
3677.6 65567. 313.213 6.212 -13.20 0.00
4150.0 61859. 315.411 5.392 -13.10 0.00
4650.0 58127. 317.924 4.593 -12.00 0.00
5177.6 54394. 320.610 3.763 -9.70 0.00
5732.8 50684. 323.480 2.899 -6.60 0.00
6315.5 47017. 326.258 2.175 -3.20 0.00
6925.9 43413. 329.099 1.497 -0.30 0.00
7563.8 39888. 331.582 1.120 1.30 0.00
8229.3 36459. 334.065 0.787 1.30 0.00
8922.4 33138. 336.200 0.544 0.40 0.00
9643.1 29938. 338.102 0.347 -1.00 0.00
10391.4 26872. 339.802 0.190 -2.90 0.00
11167.2 23949. 341.230 0.114 -4.30 0.00
11970.7 21181. 342.889 0.060 -4.50 0.00
12801.7 18581. 345.010 0.027 -2.80 0.00
13660.3 16160. 348.292 0.011 -0.60 0.00
14546.6 13936. 354.478 0.010 -0.50 0.00
15460.3 11924. 364.703 0.010 -2.20 0.00
16401.7 10139. 380.539 0.010 -2.50 0.00
17370.7 8580.0 391.6 0.010 -3.00 0.00
18125.0 7552.0 403.2 0.000 -3.00 0.00
18750.0 6696.3 412.4 0.000 -3.00 0.00
20000.0 5246.0 440.3 0.000 -3.00 0.00
21250.0 4084.7 471.1 0.000 -3.00 0.00
22500.0 3167.8 500.6 0.000 -3.00 0.00
23750.0 2475.9 526.0 0.000 -3.00 0.00
24375.0 2177.1 532.7 0.000 -3.00 0.00
24784.2 1998.1 535.0 0.000 -3.00 0.00
25000.0 1910.4 535.1 0.000 -3.00 0.00
