nop,dofs,linf,l2rel
2,1024,0.0030842450507542196,0.0019030015829577908
3,2304,0.00011282694170744456,7.333697048037246e-5
4,4096,4.036748885605235e-6,2.2284471478536184e-6
5,6400,1.161784042302827e-7,6.783303266070582e-8
6,9216,3.576603901933595e-9,1.951002856106603e-9
7,12544,9.60969082086649e-11,5.2547344855109526e-11
8,16384,2.315535164381963e-11,5.14764122894422e-12
